order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Introduction,What To Expect,introduction/what-to-expect,handshake,/lessons/introduction/what-to-expect,Learn what this workshop covers and how it will help you build a local AI workflow that fits your own hardware and use cases.
01B,Introduction,Basic Install,introduction/basic-install,handshake,/lessons/introduction/basic-install,Install LM Studio and run a small local model so you have a working setup before we explore the details.
01C,Introduction,Why Choose Local AI?,introduction/why-choose-local,handshake,/lessons/introduction/why-choose-local,"Learn when local models make sense, where cloud frontier models are stronger, and why local AI skills matter to companies."
02A,How LLMs Work,What Is a Model,how-llms-work/what-is-a-model,brain,/lessons/how-llms-work/what-is-a-model,"Learn what a model is, how neural networks use weights and parameters, and why open weights are just files full of numbers."
02B,How LLMs Work,What Makes LLMs Special,how-llms-work/what-makes-llms-special,brain,/lessons/how-llms-work/what-makes-llms-special,"See how language becomes tokens, how an LLM predicts text one token at a time, and how context and sampling settings affect its output."
02C,How LLMs Work,How LLMs Run On Hardware,how-llms-work/how-llms-run-on-hardware,brain,/lessons/how-llms-work/how-llms-run-on-hardware,"Learn how CPUs, GPUs, RAM, VRAM, and unified memory affect whether a local model fits and how quickly it can generate text."
03A,The Model Landscape,Model Families and Naming,model-landscape/model-families-and-naming,map,/lessons/model-landscape/model-families-and-naming,Learn how to read a model name and what model families are.
03B,The Model Landscape,Finding Models On Hugging Face,model-landscape/finding-models-on-hugging-face,map,/lessons/model-landscape/finding-models-on-hugging-face,"Learn how to search Hugging Face, evaluate a model repository, and identify the right files to download."
03C,The Model Landscape,Model Types By Task,model-landscape/model-types-by-task,map,/lessons/model-landscape/model-types-by-task,Learn the common types of AI models and how to choose one that matches the task you want to perform.
03D,The Model Landscape,"Dense Models, MoE, And MTP",model-landscape/dense-moe-and-mtp,map,/lessons/model-landscape/dense-moe-and-mtp,"Learn what dense models, mixture-of-experts models, and multi-token prediction mean for local model performance."
03E,The Model Landscape,Model Formats And Runtimes,model-landscape/model-formats-and-runtimes,map,/lessons/model-landscape/model-formats-and-runtimes,Learn why model files need a compatible runtime and how formats such as GGUF and MLX affect a local setup.
04A,"Hardware, Quantization, And Performance",Matching Models To Your Hardware,hardware-quantization-and-performance/matching-models-to-hardware,microchip,/lessons/hardware-quantization-and-performance/matching-models-to-hardware,Learn which hardware details affect local models and how we will use them to find compatible models on Hugging Face.
04B,"Hardware, Quantization, And Performance",Understanding Quantization,hardware-quantization-and-performance/understanding-quantization,microchip,/lessons/hardware-quantization-and-performance/understanding-quantization,"See how quantization reduces model memory use, why names such as Q4 and Q8 matter, and how to choose a first download."
04C,"Hardware, Quantization, And Performance",Will This Model Fit?,hardware-quantization-and-performance/will-this-model-fit,microchip,/lessons/hardware-quantization-and-performance/will-this-model-fit,"Estimate a model's memory needs before downloading it, then verify the estimate with a controlled load test."
04D,"Hardware, Quantization, And Performance",Model Configuration,hardware-quantization-and-performance/model-configuration,microchip,/lessons/hardware-quantization-and-performance/model-configuration,"Learn how to read a model card for the prompt template, chat template, and generation settings a local model expects."
04E,"Hardware, Quantization, And Performance",Measuring Local Inference,hardware-quantization-and-performance/measuring-local-inference,microchip,/lessons/hardware-quantization-and-performance/measuring-local-inference,Learn which local-model performance metrics matter and how to compare models without changing every variable at once.
05A,Developer Tool Integrations,LM Studio API Mode,developer-tool-integrations/lm-studio-api-mode,code,/lessons/developer-tool-integrations/lm-studio-api-mode,Learn how LM Studio turns a loaded local model into an OpenAI-compatible API that developer tools can use.
05B,Developer Tool Integrations,Configuring Developer Tools,developer-tool-integrations/configuring-developer-tools,code,/lessons/developer-tool-integrations/configuring-developer-tools,"Learn the shared configuration pattern for connecting an editor, CLI, or coding agent to LM Studio."
05C,Developer Tool Integrations,VS Code And Agent Mode,developer-tool-integrations/vs-code-and-agent-mode,code,/lessons/developer-tool-integrations/vs-code-and-agent-mode,Connect VS Code to LM Studio in both Agent mode and regular chat mode.
05D,Developer Tool Integrations,Connecting Pi,developer-tool-integrations/pi-agent,code,/lessons/developer-tool-integrations/pi-agent,Configure Pi to use LM Studio models.
06A,Remote Access With LM Studio,Remote Access Overview,remote-access/remote-access-overview,network-wired,/lessons/remote-access/remote-access-overview,Learn when remote access makes sense and choose between LM Link and a manual Tailscale connection without exposing your model server publicly.
06B,Remote Access With LM Studio,Remote Models With LM Link,remote-access/lm-link,network-wired,/lessons/remote-access/lm-link,Use LM Link to make a model loaded on another computer available through your local LM Studio server.
06C,Remote Access With LM Studio,Remote Access With Tailscale,remote-access/tailscale,network-wired,/lessons/remote-access/tailscale,Connect a client to an LM Studio server over a private Tailscale network.
06D,Remote Access With LM Studio,Running Models In The Cloud,remote-access/cloud-hosting,network-wired,/lessons/remote-access/cloud-hosting,Rent a more powerful machine to run your own local model server when buying new hardware does not make sense yet.
